id,code,place_name_id,county_id
3487,3124,3054,12
3488,7976,3055,2
3489,3726,3056,4
3490,5051,3057,10
3491,3031,3058,9
3492,4625,3059,15
3493,8868,3060,19
3494,4974,3061,15
3495,8853,3062,14
3496,6787,3063,5
3497,8660,3064,14
3498,8741,3065,19
3499,8971,3066,19
3500,8798,3067,19
3501,8992,3068,19
3502,8782,3069,19
3503,8996,3070,19
3504,8900,3071,19
3505,8344,3072,18
3506,8349,3073,18
3507,8308,3074,18
3508,8997,3075,19
3509,8761,3076,19
3510,8932,3077,19
3511,8749,3078,19
3512,8751,3079,19
3513,8752,3079,19
3514,8354,3080,19
3515,8999,3081,19
3516,8348,3082,18
3517,8747,3083,19
3518,8756,3084,19
3519,8743,3085,19
3520,8353,3086,19
3521,8476,3087,18
3522,8772,3088,19
3523,8795,3089,19
3524,8793,3089,19
3525,8785,3089,19
3526,8789,3089,19
3527,8790,3089,19
3528,8994,3090,19
3529,8921,3091,19
3530,8827,3092,19
3531,8788,3093,19
3532,8921,3094,19
3533,8764,3095,19
3534,8936,3096,19
3535,8969,3097,19
3536,7839,3098,2
3537,8947,3099,19
3538,8822,3100,19
3539,8392,3101,19
3540,8792,3102,19
3541,3957,3103,4
3542,8621,3104,14
3543,8081,3105,6
3544,8251,3106,18
3545,3296,3107,9
3546,7182,3108,16
3547,8957,3109,19
3548,2627,3110,13
3549,3977,3111,4
3550,7720,3112,2
3551,8112,3113,6
3552,8672,3114,14
3553,3794,3115,4
3554,7471,3116,14
3555,8420,3117,18
3556,7671,3118,2
3557,7173,3119,16
3558,5537,3120,3
3559,4142,3121,8
3560,2072,3122,13
3561,2116,3123,13
3562,6411,3124,1
3563,4961,3125,15
3564,9346,3126,7
3565,9635,3127,17
3566,7477,3128,14
3567,7400,3129,14
3568,7474,3130,14
3569,9766,3131,17
3570,9476,3132,7
3571,6792,3133,5
3572,3897,3134,4
3573,4627,3135,15
3574,3723,3136,4
